symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,per_d,nta,pb,mktcap,nmc,turnoverratio,favor,guba
sh600000,600000,浦发银行,10.950,0.020,0.183,10.950,10.970,10.930,10.980,11.000,10.910,16030500,175546224,15:00:00,5.951,5.875,13.5700,0.807,32140528.034715,30773621.469405,0.05704,,
sh600004,600004,白云机场,16.250,0.420,2.653,16.240,16.250,15.830,15.850,16.330,15.850,13823910,222425819,15:00:00,19.817,18.799,7.4611,2.178,3362645.83525,3362645.83525,0.66804,,
sh600006,600006,东风汽车,4.590,0.010,0.218,4.590,4.600,4.580,4.590,4.600,4.540,4454530,20388665,15:00:00,45.717,35.335,3.4172,1.343,918000,918000,0.22273,,
sh600007,600007,中国国贸,14.510,0.020,0.138,14.500,14.510,14.490,14.500,14.580,14.380,1267392,18352821,15:00:00,23.032,21.563,6.6210,2.192,1461566.956834,1461566.956834,0.12582,,
sh600008,600008,XD首创股,4.860,-0.010,-0.205,4.850,4.860,4.870,4.880,4.880,4.840,13780404,66886648,15:00:00,38.268,39.48,1.7002,2.858,2342818.464264,2342818.464264,0.28586,,
sh600009,600009,上海机场,55.010,2.020,3.812,54.950,55.000,52.990,52.510,55.160,52.510,7720718,417487350,15:00:00,28.801,27.111,13.5707,4.054,10600198.422448,6015213.659897,0.70607,,
sh600010,600010,包钢股份,2.020,0.000,0.000,2.010,2.020,2.020,2.020,2.020,2.000,47823293,95931495,15:00:00,44.69,36.794,1.0962,1.843,9208176.594896,4451844.431842,0.217,,
sh600011,600011,华能国际,6.410,0.050,0.786,6.410,6.420,6.360,6.340,6.440,6.290,14954979,95257552,15:00:00,58.273,41.275,4.7098,1.361,9743445.78504,6730500,0.14243,,
sh600012,600012,皖通高速,8.160,-0.110,-1.330,8.160,8.170,8.270,8.290,8.310,8.100,2952706,24190064,15:00:00,12.401,12.698,5.8165,1.403,1353425.76,951129.6,0.25332,,
sh600015,600015,华夏银行,8.470,0.030,0.356,8.470,8.480,8.440,8.460,8.480,8.420,17217482,145653392,15:00:00,5.723,5.466,11.8700,0.714,10860815.595091,10860815.595091,0.13427,,
sh600016,600016,民生银行,7.940,0.000,0.000,7.940,7.950,7.940,7.950,7.980,7.910,46710344,370473503,15:00:00,5.881,5.73,10.2800,0.772,28969366.909088,23464104.859136,0.15806,,
sh600017,600017,日照港,4.030,0.000,0.000,4.020,4.030,4.030,4.010,4.120,3.970,54399171,219784314,15:00:00,33.583,28.663,3.5166,1.146,1239488.516864,1239488.516864,1.7687,,
sh600018,600018,上港集团,6.810,0.020,0.295,6.810,6.820,6.790,6.820,6.850,6.770,13543272,92163975,15:00:00,13.68,13.101,3.0854,2.207,15781272.43665,15496277.34165,0.05952,,
sh600019,600019,宝钢股份,8.930,0.030,0.337,8.930,8.940,8.900,8.910,8.980,8.850,31710572,282885187,15:00:00,10.384,9.717,7.5998,1.175,19885248.206625,19726125.518925,0.14355,,
sh600020,600020,中原高速,4.480,0.010,0.224,4.480,4.490,4.470,4.480,4.500,4.470,3827816,17167046,15:00:00,11.155,10.081,4.5282,0.989,1006822.580736,1006822.580736,0.17032,,
sh600021,600021,上海电力,8.200,-0.060,-0.726,8.200,8.210,8.260,8.300,8.310,8.180,2003106,16480520,15:00:00,21.293,21.539,5.2949,1.549,1975918.86218,701794.3473,0.23405,,
sh600022,600022,山东钢铁,2.020,0.000,0.000,0.000,0.000,2.020,0.000,0.000,0.000,0,0,15:00:00,11.49,10.565,1.7090,1.182,2211203.022432,2159099.847614,0,,
sh600023,600023,浙能电力,5.150,0.000,0.000,5.140,5.150,5.150,5.150,5.160,5.120,6417881,32999528,15:00:00,16.094,17.845,4.4954,1.146,7004355.34382,7004355.34382,0.04719,,
sh600025,600025,华能水电,3.370,0.010,0.298,3.360,3.370,3.360,3.360,3.380,3.350,21968580,73927481,15:00:00,24.071,33.366,2.2073,1.527,6066000,606600,1.22048,,
sh600026,600026,中远海能,4.930,0.030,0.612,4.930,4.940,4.900,4.920,4.960,4.910,8296702,40906672,15:00:00,11.253,17.772,6.8298,0.722,1987792.200473,1348864.200473,0.30324,,
sh600027,600027,华电国际,3.770,0.130,3.571,3.760,3.770,3.640,3.640,3.780,3.640,33240261,123956664,15:00:00,85.682,33.631,4.3040,0.876,3718342.198181,2557796.342114,0.48994,,
sh600028,600028,中国石化,7.270,0.080,1.113,7.270,7.280,7.190,7.270,7.320,7.200,132175324,959437648,15:00:00,17.227,16.526,6.1600,1.18,88018769.412642,69470499.550442,0.13832,,
sh600029,600029,南方航空,10.290,-0.170,-1.625,10.280,10.300,10.460,10.400,10.400,10.190,73130306,749731516,15:00:00,17.15,14.954,5.2410,1.963,10380730.296888,7226306.85,1.04135,,
sh600030,600030,中信证券,19.840,0.090,0.456,19.840,19.850,19.750,19.800,19.900,19.550,91964817,1813186807,15:00:00,21.106,20.334,12.5216,1.584,24039946.2656,19472288.8128,0.93701,,
sh600031,600031,三一重工,8.720,-0.060,-0.683,8.710,8.720,8.780,8.810,8.850,8.640,50932758,443791194,15:00:00,31.906,23.529,3.4995,2.492,6720774.268552,6668079.02428,0.66606,,
sh600033,600033,福建高速,3.440,-0.010,-0.290,3.430,3.440,3.450,3.450,3.460,3.420,6906037,23705206,15:00:00,14.387,15.108,3.2336,1.064,944073.6,944073.6,0.25164,,
sh600035,600035,楚天高速,4.000,-0.010,-0.249,4.000,4.010,4.010,4.010,4.020,3.980,3050648,12197744,15:00:00,11.765,12.154,3.5709,1.12,692318.3692,596558.0296,0.20455,,
sh600036,600036,招商银行,29.840,0.090,0.303,29.830,29.840,29.750,30.000,30.190,29.400,32219188,957420602,15:00:00,10.734,10.331,18.3200,1.629,75256019.273384,61556770.176136,0.15618,,
sh600037,600037,歌华有线,12.380,0.090,0.732,12.360,12.370,12.290,12.320,12.420,12.280,4792596,59169945,15:00:00,22.633,22.808,9.2437,1.339,1723021.020392,1446419.808188,0.4102,,
sh600038,600038,中直股份,44.910,0.390,0.876,44.920,44.940,44.520,44.690,44.990,43.840,7330339,325578000,15:00:00,58.136,58.181,12.4263,3.614,2647339.931556,2647339.931556,1.24353,,
sh600039,600039,四川路桥,3.840,0.090,2.400,3.840,3.850,3.750,3.830,3.930,3.810,32113957,124283811,15:00:00,11.608,12.129,3.6340,1.057,1386441.79584,1159577.346048,1.06347,,
sh600048,600048,保利地产,13.900,0.010,0.072,13.910,13.920,13.890,13.990,14.140,13.680,52639898,729431992,15:00:00,10.53,10.545,8.8050,1.579,16483233.07479,16313513.90521,0.44852,,
sh600050,600050,中国联通,5.810,-0.050,-0.853,5.810,5.820,5.860,5.870,5.910,5.740,139588744,811447951,15:00:00,309.043,94.318,4.4189,1.315,18027158.590147,12315222.505495,0.65854,,
sh600051,600051,宁波联合,7.720,-0.010,-0.129,7.710,7.720,7.730,7.730,7.750,7.670,2679075,20654135,15:00:00,4.949,5.049,7.6490,1.009,239999.36,239999.36,0.86177,,
sh600052,600052,浙江广厦,3.730,0.000,0.000,0.000,0.000,3.730,0.000,0.000,0.000,0,0,15:00:00,16.955,15.4,2.7296,1.367,325177.331316,325177.331316,0,,
sh600053,600053,九鼎投资,23.250,0.170,0.737,23.230,23.240,23.080,22.950,23.600,22.950,1664985,38897578,15:00:00,31.124,32.078,4.6595,4.99,1007982.36,1007982.36,0.38404,,
sh600054,600054,黄山旅游,12.460,0.060,0.484,12.450,12.460,12.400,12.430,12.470,12.380,1898000,23593498,15:00:00,22.655,20.91,5.5665,2.238,931135.8,639571.8,0.36976,,
sh600055,600055,万东医疗,15.320,0.230,1.524,15.310,15.320,15.090,15.070,15.470,14.950,8491729,129928232,15:00:00,75.842,75.098,3.4170,4.483,828530.416868,742787.136,1.75142,,
sh600056,600056,中国医药,22.110,0.290,1.329,22.110,22.120,21.820,21.800,22.120,21.670,9967836,219040437,15:00:00,18.193,16.935,7.6631,2.885,2362421.515674,2237832.837504,0.98483,,
sh600057,600057,象屿股份,9.170,-0.230,-2.447,9.150,9.160,9.400,9.380,9.410,9.120,12638950,116534590,15:00:00,17.98,14.947,6.2593,1.465,1336746.889499,1324410.566444,0.8751,,
sh600058,600058,五矿发展,10.550,-0.090,-0.846,10.540,10.560,10.640,10.610,10.650,10.470,3380912,35701150,15:00:00,327.64,236.018,4.7181,2.236,1130865.800105,1130865.800105,0.31541,,
sh600059,600059,古越龙山,8.590,-0.020,-0.232,8.570,8.610,8.610,8.610,8.660,8.500,4738571,40668385,15:00:00,42.95,38.314,5.0198,1.711,694522.257735,694522.257735,0.58608,,
sh600060,600060,海信电器,13.840,0.080,0.581,13.840,13.850,13.760,13.800,13.990,13.730,8775836,121729344,15:00:00,19.222,18.933,10.7982,1.282,1810938.011248,1810938.011248,0.67069,,
sh600061,600061,国投资本,12.630,0.440,3.610,12.630,12.640,12.190,12.270,12.640,12.240,9027718,112728493,15:00:00,18.574,19.627,8.6879,1.454,5338864.845201,4665713.613519,0.24438,,
sh600062,600062,华润双鹤,26.430,0.450,1.732,26.420,26.430,25.980,26.030,26.490,25.910,7096759,185944928,15:00:00,27.27,23.8,8.9229,2.962,2297731.055394,1813190.869734,1.03446,,
sh600063,600063,皖维高新,3.080,0.000,0.000,3.080,3.090,3.080,3.080,3.100,3.060,10045911,30945422,15:00:00,61.6,74.396,2.4409,1.262,593175.565136,593175.565136,0.52162,,
sh600064,600064,南京高科,14.410,0.310,2.199,14.400,14.410,14.100,14.200,14.420,14.180,4183225,59802597,15:00:00,11.763,10.818,13.6401,1.056,1113133.672255,1113133.672255,0.54154,,
